ticker,company,sector,industry,country,market_cap,pe,ps,pb,p_free_cash_flow,dividend_yield,performance_half_year,price,evebitda,bb,pe_rank,ps_rank,pb_rank,bby,shy,pfcf_rank,evebitda_rank,rank
AFSI,"AmTrust Financial Services, Inc.",Financial,Property & Casualty Insurance,USA,2744.66,9.98,1.02,2.13,0.0,2.2,-1.51,36.44,6.78,0,31.574608408903543,0.0,0.0,-0.0,2.2,50,50,131.57460840890354
AG,First Majestic Silver Corp.,Basic Materials,Silver,Canada,1084.04,0.0,4.31,1.89,0.0,0.0,-12.42,9.24,11.33,0,0.0,0.0,0.0,-0.0,0.0,50,50,100.0
AGCO,AGCO Corporation,Industrial Goods,Farm & Construction Machinery,USA,5318.12,9.42,0.49,1.38,14.52,0.78,-8.68,56.63,4.57,0,30.72272602363287,0.0,0.0,-0.0,0.78,50,50,130.72272602363287
AGI,Alamos Gold Inc.,Basic Materials,Gold,Canada,1155.16,30.23,4.09,1.43,0.0,2.21,-35.21,9.07,4.96,0,78.95026106073098,0.0,0.0,-0.0,2.21,50,50,178.95026106073098
AGII,"Argo Group International Holdings, Ltd.",Financial,Property & Casualty Insurance,Bermuda,1226.09,8.98,0.83,0.78,0.0,1.3,7.36,46.25,4.71,0,30.118164330860125,0.0,0.0,-0.0,1.3,50,50,130.1181643308601
AGIO,"Agios Pharmaceuticals, Inc.",Healthcare,Biotechnology,USA,1293.31,0.0,50.72,9.68,0.0,0.0,48.32,40.67,-32.09,0,0.0,97.96647430612806,93.02006045616928,-0.0,0.0,50,50,197.96647430612808
AGM,Federal Agricultural Mortgage Corp.,Financial,Credit Services,USA,377.68,5.82,1.56,1.27,1.59,1.57,5.17,35.63,26.930475405331133,0.0,0.0,-0.0,1.57,50,50,126.93047540533114
AGN,Allergan Inc.,Healthcare,Drug Manufacturers - Other,USA,40056.81,31.81,6.36,6.16,27.59,0.15,49.25,133.92,16.24,0,80.62654575432812,0.0,0.0,-0.0,0.15,50,50,180.6265457543281
AGNC,American Capital Agency Corp.,Financial,REIT - Residential,USA,7750.55,6.75,3.92,0.96,9.2,11.88,6.89,21.88,0,27.56251717504809,0.0,0.0,-0.0,11.88,50,50,127.56251717504809
AGO,Assured Guaranty Ltd.,Financial,Surety & Title Insurance,Bermuda,4358.49,5.42,2.71,0.85,25.79,1.84,23.34,23.89,0,26.765594943665842,0.0,0.0,-0.0,1.84,50,50,126.76559494366585
AGRO,Adecoagro S.A.,Consumer Goods,Farm Products,Luxembourg,1095.12,0.0,1.72,1.2,0.0,0.0,10.36,8.95,11.2,0,0.0,0.0,0.0,-0.0,0.0,50,50,100.0
AGU,Agrium Inc.,Basic Materials,Agricultural Chemicals,Canada,13385.92,12.84,0.85,2.03,0.0,3.22,12.28,93.1,8.27,0,37.26298433635614,0.0,0.0,-0.0,3.22,50,50,137.26298433635614
AGX,"Argan, Inc.",Industrial Goods,Heavy Construction,USA,388.56,9.68,1.71,2.48,0.0,0.0,27.39,27.21,1.72,0,31.107447100851882,0.0,0.0,-0.0,0.0,50,50,131.10744710085189
AGYS,Agilysys Inc.,Technology,Application Software,USA,284.82,0.0,2.03,2.09,0.0,0.0,7.28,12.67,20.83,0,0.0,0.0,0.0,-0.0,0.0,50,50,100.0
AHC,A. H. Belo Corporation,Services,Publishing - Newspapers,USA,240.12,37.52,0.66,1.42,0.0,2.94,32.68,10.88,5.55,0,0.0,0.0,0.0,-0.0,2.94,50,50,100.0
AHGP,"Alliance Holdings GP, L.P.",Basic Materials,Nonmetallic Mineral Mining,USA,3758.01,16.06,1.7,7.58,19.93,5.27,4.83,62.78,6.47,0,45.67188788128607,40.917834569936794,0.0,-0.0,5.27,50,50,186.58972245122285
AHH,"Armada Hoffler Properties, Inc.",Financial,REIT - Diversified,USA,323.85,25.69,2.31,0.0,0.0,6.39,1.62,10.02,13.52,0,0.0,0.0,0.0,-0.0,6.39,50,50,100.0
AHL,Aspen Insurance Holdings Ltd.,Financial,Property & Casualty Insurance,Bermuda,2896.36,10.79,1.21,0.89,5.77,1.62,17.97,44.45,1.58,0,33.19593294861225,30.035724100027476,0.0,-0.0,1.62,50,50,163.23165704863973
AHP,"Ashford Hospitality Prime, Inc.",Financial,REIT - Hotel/Motel,USA,391.86,0.0,1.68,1.7,0.0,1.29,0.0,15.47,13.63,0.0,0.0,0.0,-0.0,1.29,50,50,100.0
AHS,AMN Healthcare Services Inc.,Healthcare,Specialized Health Services,USA,594.38,18.57,0.59,2.71,11.98,0.0,-5.74,12.81,9.27,0,53.531189887331685,0.0,0.0,-0.0,0.0,50,50,153.5311898873317
AHT,Ashford Hospitality Trust Inc.,Financial,REIT - Hotel/Motel,USA,925.08,0.0,0.98,1.38,0.0,4.59,21.06,10.46,11.56,0,0.0,0.0,0.0,-0.0,4.59,50,50,100.0
AI,Arlington Asset Investment Corp.,Financial,Mortgage Investment,USA,508.41,8.74,12.52,0.78,29.05,13.53,14.02,25.86,0,29.78840340752954,92.99258037922506,0.0,-0.0,13.53,50,50,222.7809837867546
AIG,"American International Group, Inc.",Financial,Property & Casualty Insurance,USA,73640.21,8.37,1.07,0.74,13.28,0.98,-0.41,50.82,5.86,0,29.238801868645233,0.0,0.0,-0.0,0.98,50,50,129.23880186864523
AIMC,"Altra Holdings, Inc.",Industrial Goods,Industrial Electrical Equipment,USA,922.00,22.71,1.28,3.39,17.01,1.17,24.35,34.06,11.14,0,0.0,0.0,0.0,-0.0,1.17,50,50,100.0
AIN,Albany International Corp.,Industrial Goods,Textile Industrial,USA,1096.84,62.67,1.45,2.01,0.0,1.74,-2.63,34.47,8.71,0,92.38801868645233,0.0,0.0,-0.0,1.74,50,50,192.3880186864523
AINV,Apollo Investment Corporation,Financial,Diversified Investments,USA,1929.43,7.21,5.22,0.95,0.0,9.82,2.26,8.15,0.0,27.91975817532289,0.0,11.843913162956857,-0.0,9.82,50,50,127.9197581753229
AIQ,"Alliance Healthcare Services, Inc.",Healthcare,Medical Laboratories & Research,USA,312.28,0.0,0.7,0.0,5.26,0.0,-0.27,29.24,5.92,0,0.0,0.0,0.0,-0.0,0.0,50,50,100.0
AIR,AAR Corp.,Services,Major Airlines,USA,1059.68,18.73,0.51,1.05,10.08,1.12,-2.16,26.78,7.89,0,54.025831272327565,0.0,0.0,-0.0,1.12,50,50,154.02583127232757
AIRM,Air Methods Corp.,Healthcare,Specialized Health Services,USA,2009.47,32.31,2.28,5.45,76.41,0.0,20.24,51.38,13.26,0,81.121187139324,51.6075845012366,84.28139598790877,-0.0,0.0,50,50,232.72877164056058
AIT,"Applied Industrial Technologies, Inc.",Services,Industrial Equipment Wholesale,USA,2035.48,18.03,0.83,2.64,30.47,2.06,-3.19,48.51,9.94,0,0.0,0.0,0.0,-0.0,2.06,50,50,100.0
AIV,Apartment Investment & Management Co.,Financial,REIT - Residential,USA,4328.94,102.17,4.44,4.79,0.0,3.51,3.64,29.63,17.41,0,95.43830722726024,0.0,81.121187139324,-0.0,3.51,50,50,195.43830722726022
AIXG,Aixtron SE,Industrial Goods,Diversified Machinery,Germany,1811.99,0.0,6.24,3.07,1509.99,0.0,11.73,15.91,-12.26,0,0.0,82.907392140698,0.0,-0.0,0.0,50,50,182.907392140698
